Python开发工程师 RR,同方鼎欣科技股份有限公司,北京-海淀区,1.5-2万/月,"外派到：中国电信工作地点：海淀区杏石口路99号西山赢府e座技术要求：1.熟悉Python，4年以上经验，对其中的运行机制，基础对象有一定的了解2.熟练掌握Django框架，了解Tornado，Flask等Web框架3.熟悉Linux基本原理及基础应用，熟悉多线程，多进程,协程4.熟悉TCP/IP协议，对网络基础传输协议如HTTP、TCP、UDP有一定的了解，特别是HTTP协议5.熟悉mysql、redis、mongodb中的至少一种数据库应用6.熟悉基本的数据结构及算法7.了解CDN8.熟悉docker者优先9.有大型平台项目开发经验者优先10.有视频类、云相关项目经验优先职能类别：互联网软件开发工程师软件工程师关键字：DjangoCDN微信分享"
python后端开发工程师,北京科讯华通科技发展有限公司,北京,0.8-1.5万/月,1. 实现产品系统的后端服务，并和前端工程师紧密配合，确保系统按时上线并且功能完备；2. 参与产品需求分析和产品设计，在初期就围绕业务目标，发挥自己的创造力和生产力；3. 结合产品不断思考后端服务如何优化，让架构在思考和实践中不断进化。任职要求：1、计算机相关专业， 3年以上运维开发工作经验；2、精通Python，熟悉shell语言3、熟悉Linux/Unix开发环境4、熟悉Django框架，Javascrip、CSS、Html等前端技术5、熟悉HTTP协议及基于HTTP协议的API开发6、熟悉ORACLE、MySQL、MongoDB、Redis等主流数据库系统(*)7、代码风格清晰整洁，可复用，注释详细8、良好的沟通能力和团队合作精神职能类别：软件工程师关键字：软件工程师python后端开发微信分享
Python高级开发工程师,北京文泽智远信息技术有限公司,北京-海淀区,1.5-2万/月,1、使用Python，参与气象领域大数据处理系统的开发；2、辅助进行系统的需求分析和系统设计；任职要求：1、大气科学、计算机、数学或相关专业本科或以上学历；2、2年以上Python实际项目经验，熟悉Numpy、Scipy等数值处理库；3、有 Djando 框架开发经验；4、熟悉H5开发，熟悉jQuery、Bootstrap框架，有相应的项目开发经验；5、做事细心，踏实，勤奋，喜欢软件编程行业；6、能熟练阅读中英文技术文档。职能类别：高级软件工程师微信分享
Java/Python软件工程师.,南京拾柴信息科技有限公司,北京,0.8-2万/月,工作职责：1、负责大数据类产品的系统设计和开发；2、负责数据后台服务的设计、开发、优化、测试等研发工作；3、和伙伴们一起研究技术；4、支撑前端开发，支撑数据工程师开发。职位要求：0、扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；1、具有高度的责任心，坚定的执行力，较强的沟通力，善于团队协作，主动思考，自我驱动力强；2、熟悉Java或Python开发；3、熟悉MySQL，Redis等常用数据库，具有数据库开发和设计能力；4、有Hadoop/Spark开发经验优先；5、有全栈开发经验优先；6、有数据挖掘、机器学习开发经验优先。职能类别：软件工程师高级软件工程师关键字：JavaPython大数据微信分享
Python,北京红果科技有限公司,北京-朝阳区,2-2.5万/月,"1.熟悉python,熟练使面向对象思想编程,熟练使用装饰器对可切片逻辑进行抽象,熟悉元类及自省机制,可开发简单框架。（必需）2.熟悉django或flask等web框架,熟练使用restfull风格开发api,熟练使用及开发django中间件（必需）3.能根据产品原型图能给出接口设计，数据库表结构设计及项目排期（必需）4.熟悉MySql,Redis,MongoDB,对数据库优化有一定了解；（必需）5.对信息安全有一定的认识，了解程序代码加密与数据库加密；（必需）6.熟悉html5cssJavaScript，熟悉nodejsnpmwebpackvue全家桶,熟练开发vue-cli前端项目；（加分）7.熟悉selenium自动化测试框架,可编写自动化测试脚本；（加分）8.熟悉linux常用命令及服务配置,熟悉nginx反向代理,负载均衡；了解docker，制作镜像及部署服务；（加分）职能类别：软件工程师关键字：数据库安全微信分享"
Python开发工程师,中国科学院自动化研究所,北京,0.8-1.5万/月,1、参与完成易用、高分享性的Web/App产品；2、负责或参与服务器端web服务的开发；应聘要求：1.具有扎实的Python基础，熟悉常用的类库；2.熟悉mysql数据结构设计，熟悉MySQL优化；3.熟悉Python多进程协程开发，至少熟悉django、Flask、tornado等一种常见框架；4.熟悉或了解服务器管理（如CentOS/Debian/Ubuntu）、服务器缓存技术（如Redis/Memcache）；5.能与团队其他人进行高效、友好沟通、工作积极性、主动性、责任心强；6.计算机或相关专业统招本科及以上学历，1年以上工作经验；7.有机器人web管理相关开发经验者优先；职能类别：Web前端开发软件工程师微信分享
少儿编程讲师（python/c++）,达内时代科技集团有限公司,北京-海淀区,1-1.5万/月,【岗位职责】：1、教授少儿编程课程；2、积极与学生和家长沟通交流，完成课程目标；3、参与教学日常管理工作以及教研活动。【任职要求】：1、理工科、师范类相关专业，本科以上学历；2、熟悉Python、Java、c++之一；3、善于沟通表达，逻辑清晰，能与孩子及家长交流互动；4、有机器人比赛经历或学前教育经历者优先考虑；职能类别：讲师/助教关键字：pythonwebc++java微信分享
资深Python研发工程师,端云信息技术（上海）有限公司,北京-海淀区,1.5-2.5万/月,1、负责项目的系统架构设计、提供解决方案2、开发和维护统一的软件开发架构和规范，发现和解决存在的技术问题3、从事核心架构部分代码的编写，为初级开发人员提供技术指导及帮助4、作为python研发组长带头进行相关研发工作，要求编码能力强，能带人岗位要求：1、有较强的软件开发能力，5年以上实际项目经验，云计算研发类工作2年以上，或从事Openstack研发1年以上（如果python开发能力也非常不错，可以没有云计算相关经验）2、精通LINUX，熟悉内核机制，深入理解LINUX操作系统、网络和存储3、对云计算(IaaS、PaaS、SaaS)及DevOps有一定的了解和见解，熟悉市场上主流云服务的一种4、对虚拟化技术有深入理解与实践，熟悉KVM/XEN/DOCKER等虚拟化技术5、熟悉Openstack架构设计及格组件原理，精通NOVA.neutron.Heat等组件和内部工作原理，具有核心模块的二次开发经验者优先6、有较强编程能力，精通C/C++、java、go或python，熟悉Pythonweb常用框架中的一种，如Django、Flask、Tornado等者优先 7、对于底层使用的系统工具和组件，深入了解其工作原理，常见问题，部署及问题调式8、极强的学习能力和动力，对未知技术和领域能快速掌握并实践。沟通能力，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意识职能类别：高级软件工程师关键字：云计算PythonOpenstackLinux微信分享
Python工程师,中包物联网科技（北京）有限公司,北京,7-12万/年,岗位职责：1、设计和建立物联网云平台和数据设施；2、优化大数据处理算法及数据库性能，实现大数据的数据挖掘及AI算法；3、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题；4、同业务分析师和算法工程师协作，完成产品化落地；5、参与软件工程文档、产品文档编写，满足质量要求；6、做好模块集成、单元测试、模块测试及确认工作；7、解决工程项目中遇到的问题，进行系统功能优化，安全等保证系统安全、稳定和快速运行；任职要求：1、全日制相关专业本科及以上学历，2年及以上相关工作经验；2、掌握常见的Python框架，熟悉Flask、Numpy、Pandas3、精通MySQL，熟悉关系型数据库，懂数据库配置、查询优化者优先；4、熟练掌握Pycharm、SVN等常见工具；4、熟悉Socket编程、HTTP、TCP协议等，有网络开发经验；5、熟悉大数据量、高并发、高性能系统优化者优先；6、熟悉XML、JSON、protobuf等数据封装方式7、熟悉Linux常用命令，能独立完成Linux环境的搭建及应用的部署，熟悉Web容器性能调优，根据日志跟踪并定位问题。8、能承受一定的工作压力，有责任心和上进心，能通过持续学习和完善自身，自信、有担当、执行力强、乐于分享;9、有物联网、车联网、云计算项目开发经验者优先；职能类别：数据库工程师/管理员软件工程师关键字：Python框架熟悉Flask精通MySQLSocket编程、HTTPXML微信分享
Python高级开发工程师,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月,职责：开发微服务平台系统。要求：1.正规大学本科以上学历。2.3年及以上Python开发经验，精通Python开发。3.精通Django框架，有实际应用项目经验。4.熟悉HTML5，Javascript，Json，熟悉Mysql数据库，熟练使用SQL。5.有websocketserver开发经验者优先。6.有Redis开发、部署经验者优先。7.了解HTTP协议，微服务，以及RestfulAPI。8.熟悉云服务平台（google，ali），了解服务器的部署和监控，了解负载平衡。9.了解敏捷开发，熟悉软件设计模式。职能类别：互联网软件开发工程师高级软件工程师关键字：PythonDjangoHTML5JavascriptJsonMysqlSQLHTTPRestfulAPI微信分享
